id_codedep_codecommune,Code_postal,Id_bien,Surface_carrez,Type_local,Total_piece
75106,75006,391,78.83,Appartement,3
75106,75006,392,48.96,Appartement,2
75110,75010,393,36.47,Appartement,2
75110,75010,394,49.6,Appartement,2
75110,75010,395,69.08,Appartement,3
75110,75010,396,50.78,Appartement,3
75111,75011,397,18.21,Appartement,1
75111,75011,398,130.65,Appartement,5
75111,75011,399,53.8,Appartement,3
75111,75011,400,31.48,Appartement,2
75111,75011,401,26.98,Appartement,2
75112,75012,402,64.38,Appartement,3
75112,75012,403,48.65,Appartement,2
75113,75013,404,47.03,Appartement,2
75114,75014,405,52.28,Appartement,3
75114,75014,406,77.97,Appartement,4
75114,75014,407,54.56,Appartement,3
75115,75015,408,10.80,Appartement,1
75115,75015,409,55.63,Appartement,3
75116,75016,410,360.95,Appartement,8
75116,75016,411,30.02,Appartement,1
75117,75017,412,50.22,Appartement,2
75117,75017,413,28.35,Appartement,1
75117,75017,414,48.88,Appartement,3
75117,75017,415,131.25,Appartement,7
75117,75017,416,39.34,Appartement,3
75117,75017,417,22.84,Appartement,1
75117,75017,418,83.25,Appartement,4
75118,75018,419,13.15,Appartement,1
75120,75020,420,46.01,Appartement,2
77061,77130,421,39.6,Appartement,2
77079,77430,422,45.45,Appartement,2
77118,77410,423,60.7,Appartement,3
77284,77100,424,55.2,Appartement,3
77285,77350,425,100.8,Appartement,5
77288,77000,426,25.45,Appartement,1
77307,77144,427,40.35,Appartement,1
77419,77670,428,99.42,Appartement,4
77450,77170,429,118.56,Maison,5
77487,77000,430,66.42,Appartement,3
78146,78400,431,75.16,Appartement,3
78165,78340,432,56.83,Appartement,3
78358,78600,433,27.01,Appartement,1
78358,78600,434,111,Appartement,5
78372,78160,435,52.53,Appartement,2
78382,78780,436,55.03,Appartement,4
78481,78230,437,88.78,Appartement,5
78586,78500,438,17.78,Appartement,1
78646,78000,439,98.99,Maison,5
80021,80000,440,19.97,Appartement,1
80228,80550,441,87.02,Maison,4
82121,82000,442,48.4,Appartement,2
83009,83150,443,25.29,Appartement,1
83112,83270,444,68.46,Appartement,3
83137,83200,445,57.68,Appartement,3
84031,84200,446,63.17,Appartement,3
